	Topic: options.databento.normalized	Partition: 10	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 11	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 12	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 13	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 14	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 15	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 16	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 17	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 18	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 19	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 20	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 21	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 22	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 23	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 24	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 25	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 26	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 27	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 28	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 29	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 30	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
	Topic: options.databento.normalized	Partition: 31	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
Topic: options.unusualwhales.gex.strike.history	TopicId: BRbxocONT6-S0J8SWja0fA	PartitionCount: 32	ReplicationFactor: 1	Configs: min.insync.replicas=1,cleanup.policy=compact,delete,segment.bytes=1073741824,retention.ms=86400000,min.cleanable.dirty.ratio=0.01,delete.retention.ms=3600000,segment.ms=3600000
	Topic: options.unusualwhales.gex.strike.history	Partition: 0	Leader: 2	Replicas: 2	Isr: 2	Elr: 	LastKnownElr: 
	Topic: options.unusualwhales.gex.strike.history	Partition: 1	Leader: 3	Replicas: 3	Isr: 3	Elr: 	LastKnownElr: 
	Topic: options.unusualwhales.gex.strike.history	Partition: 2	Leader: 1	Replicas: 1	Isr: 1	Elr: 	LastKnownElr: 
